id,nome,tipo,latitude,longitude,estudantes
E1,CEAT - Centro Educacional Alberto Torres,ESCOLA,-12.6616899,-39.0993240,420
E2,Colégio Montessori,ESCOLA,-12.6691435,-39.1013517,260
E3,Centro Educacional Cruzalmense,ESCOLA,-12.6685736,-39.1060494,310
U1,UFRB - Universidade Federal do Recôncavo da Bahia,UNIVERSIDADE,-12.6631654,-39.0799470,1800
B1,INOCOOP,BAIRRO,-12.6576407,-39.1034474,95
B2,Tabela,BAIRRO,-12.6517875,-39.0996903,70
B3,Itapicuru,BAIRRO,-12.6562736,-39.1185154,60
B4,Toquinha,BAIRRO,-12.6597906,-39.1274811,55
B5,Coplan,BAIRRO,-12.6605714,-39.1189434,80
P1,Rodoviária de Cruz das Almas,PONTO_EMBARQUE,-12.6642076,-39.1129109,140
P2,Praça Senador Temístocles,PONTO_EMBARQUE,-12.6729805,-39.1013486,160
P3,Portaria UFRB,PONTO_EMBARQUE,-12.6639377,-39.0999366,220
E4,CCAA,ESCOLA,-12.6722576,-39.1043217,80
E5,CEMAM - Centro Educacional Maria Milza,ESCOLA,-12.6719797,-39.1009655,180
E6,Colégio Contemporâneo,ESCOLA,-12.6765230,-39.0995860,180
E7,Colégio Cruz das Almas,ESCOLA,-12.6709379,-39.1089355,220
E8,Colégio Municipal Jorge Guerra,ESCOLA,-12.6689885,-39.1133049,240
E9,Colégio Vigildásio Sena,ESCOLA,-12.6680751,-39.1051911,210
E10,Creche Municipal do Vilarejo,ESCOLA,-12.6710945,-39.1141004,90
E11,Escola Comendador Themistocles,ESCOLA,-12.6719023,-39.1042140,200
E12,Escola Lavoisier,ESCOLA,-12.6641959,-39.1011136,160
E13,Escola Municipal Joaquim Medeiros,ESCOLA,-12.6598308,-39.0927302,190
E14,Escola Recanto Feliz,ESCOLA,-12.6683263,-39.1055505,120
E15,Faculdade Batista,ESCOLA,-12.6717048,-39.1040406,160
E16,Fisk,ESCOLA,-12.6688085,-39.1046441,70
E17,Escola José Batista da Fonseca,ESCOLA,-12.6652431,-39.1017923,180
E18,Líder Cursos,ESCOLA,-12.6699347,-39.1025360,80
B6,Alberto Passos,BAIRRO,-12.6769831,-39.0958146,70
B7,Assembléia,BAIRRO,-12.6696420,-39.1108140,75
B8,Cajá,BAIRRO,-12.6557446,-39.1260175,55
B9,Centro,BAIRRO,-12.6745075,-39.1016142,120
B10,Embira,BAIRRO,-12.6826227,-39.1433214,50
B11,Loteamento Santo Antônio,BAIRRO,-12.6526301,-39.1175541,65
B12,Loteamento Tancredo Neves,BAIRRO,-12.6626230,-39.1339088,70
B13,Primavera,BAIRRO,-12.6672260,-39.0988773,85
B14,Sapucaia,BAIRRO,-12.6617792,-39.0627825,45
